mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_copy_X,param_fit_intercept,param_n_jobs,param_positive,params,split0_test_r2,split1_test_r2,split2_test_r2,split3_test_r2,split4_test_r2,mean_test_r2,std_test_r2,rank_test_r2,split0_test_neg_mean_squared_error,split1_test_neg_mean_squared_error,split2_test_neg_mean_squared_error,split3_test_neg_mean_squared_error,split4_test_neg_mean_squared_error,mean_test_neg_mean_squared_error,std_test_neg_mean_squared_error,rank_test_neg_mean_squared_error
0.000530862808227539,0.00015379891537782624,0.00018448829650878905,2.061536397248331e-05,True,True,-1,False,"{'copy_X': True, 'fit_intercept': True, 'n_jobs': -1, 'positive': False}",0.9398245450040421,0.935438672135321,0.934663121652101,0.9276164835767964,0.9214381185582519,0.9317961881853025,0.006491549076320538,1,-18.86176523376,-20.01619603329373,-18.406777067386717,-21.35687769739053,-20.45255655776911,-19.818834517920017,1.0692071709211497,1
0.0004008293151855469,1.2797904256899945e-05,0.00015230178833007811,5.842763355728765e-06,True,True,1,False,"{'copy_X': True, 'fit_intercept': True, 'n_jobs': 1, 'positive': False}",0.9398245450040421,0.935438672135321,0.934663121652101,0.9276164835767964,0.9214381185582519,0.9317961881853025,0.006491549076320538,1,-18.86176523376,-20.01619603329373,-18.406777067386717,-21.35687769739053,-20.45255655776911,-19.818834517920017,1.0692071709211497,1
0.00034542083740234374,1.7175009871890107e-05,0.00013737678527832032,3.8218431300189735e-06,False,True,-1,False,"{'copy_X': False, 'fit_intercept': True, 'n_jobs': -1, 'positive': False}",0.9398245450040421,0.935438672135321,0.934663121652101,0.9276164835767964,0.9214381185582519,0.9317961881853025,0.006491549076320538,1,-18.86176523376,-20.01619603329373,-18.406777067386717,-21.35687769739053,-20.45255655776911,-19.818834517920017,1.0692071709211497,1
0.00032725334167480467,7.70590092583304e-06,0.00013427734375,4.425603733128397e-06,False,True,1,False,"{'copy_X': False, 'fit_intercept': True, 'n_jobs': 1, 'positive': False}",0.9398245450040421,0.935438672135321,0.934663121652101,0.9276164835767964,0.9214381185582519,0.9317961881853025,0.006491549076320538,1,-18.86176523376,-20.01619603329373,-18.406777067386717,-21.35687769739053,-20.45255655776911,-19.818834517920017,1.0692071709211497,1
0.00032434463500976565,3.6407258663855037e-05,0.000156402587890625,8.099216342669978e-06,True,False,-1,False,"{'copy_X': True, 'fit_intercept': False, 'n_jobs': -1, 'positive': False}",0.9205788839553564,0.9210499458624276,0.9196068001483744,0.9082183734668697,0.9071164923490556,0.9153140991564168,0.006270490549386822,5,-24.894243766630506,-24.4771880121344,-22.648460483884218,-27.080322559561036,-24.181004307076194,-24.65624382585727,1.429818814531871,5
0.0002731800079345703,1.0804755430807912e-05,0.00013914108276367188,1.6513029825324318e-05,True,False,1,False,"{'copy_X': True, 'fit_intercept': False, 'n_jobs': 1, 'positive': False}",0.9205788839553564,0.9210499458624276,0.9196068001483744,0.9082183734668697,0.9071164923490556,0.9153140991564168,0.006270490549386822,5,-24.894243766630506,-24.4771880121344,-22.648460483884218,-27.080322559561036,-24.181004307076194,-24.65624382585727,1.429818814531871,5
0.00028858184814453127,2.6306808263252838e-05,0.00013780593872070312,5.523906882314522e-06,False,False,-1,False,"{'copy_X': False, 'fit_intercept': False, 'n_jobs': -1, 'positive': False}",0.9205788839553564,0.9210499458624276,0.9196068001483744,0.9082183734668697,0.9071164923490556,0.9153140991564168,0.006270490549386822,5,-24.894243766630506,-24.4771880121344,-22.648460483884218,-27.080322559561036,-24.181004307076194,-24.65624382585727,1.429818814531871,5
0.00026183128356933595,3.2634618057763426e-06,0.0001305103302001953,1.302385357260481e-06,False,False,1,False,"{'copy_X': False, 'fit_intercept': False, 'n_jobs': 1, 'positive': False}",0.9205788839553564,0.9210499458624276,0.9196068001483744,0.9082183734668697,0.9071164923490556,0.9153140991564168,0.006270490549386822,5,-24.894243766630506,-24.4771880121344,-22.648460483884218,-27.080322559561036,-24.181004307076194,-24.65624382585727,1.429818814531871,5
0.20393610000610352,0.15628222378443055,0.00043244361877441405,0.0002706247020116065,True,True,-1,True,"{'copy_X': True, 'fit_intercept': True, 'n_jobs': -1, 'positive': True}",0.3759415171552498,0.37213698512150706,0.36730347718784795,0.40757530451203194,0.4047062729412181,0.385532711383571,0.01707186482378422,9,-195.6087344307542,-194.65877799484133,-178.243958713533,-174.79589817764733,-154.9769226209609,-179.65685838754737,14.928123728690373,9
0.0004947662353515625,3.7452940785623294e-05,0.00016698837280273437,1.071940113168603e-05,True,True,1,True,"{'copy_X': True, 'fit_intercept': True, 'n_jobs': 1, 'positive': True}",0.3759415171552498,0.37213698512150706,0.36730347718784795,0.40757530451203194,0.4047062729412181,0.385532711383571,0.01707186482378422,9,-195.6087344307542,-194.65877799484133,-178.243958713533,-174.79589817764733,-154.9769226209609,-179.65685838754737,14.928123728690373,9
0.0009256362915039063,9.718142498954292e-05,0.00016627311706542968,1.6601604573813588e-05,False,True,-1,True,"{'copy_X': False, 'fit_intercept': True, 'n_jobs': -1, 'positive': True}",0.3759415171552498,0.37213698512150706,0.36730347718784795,0.40757530451203194,0.4047062729412181,0.385532711383571,0.01707186482378422,9,-195.6087344307542,-194.65877799484133,-178.243958713533,-174.79589817764733,-154.9769226209609,-179.65685838754737,14.928123728690373,9
