mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_loss,param_max_depth,param_min_samples_leaf,param_min_samples_split,params,split0_test_r2,split1_test_r2,split2_test_r2,split3_test_r2,split4_test_r2,mean_test_r2,std_test_r2,rank_test_r2,split0_test_neg_mean_squared_error,split1_test_neg_mean_squared_error,split2_test_neg_mean_squared_error,split3_test_neg_mean_squared_error,split4_test_neg_mean_squared_error,mean_test_neg_mean_squared_error,std_test_neg_mean_squared_error,rank_test_neg_mean_squared_error
0.2609715938568115,0.00172983667338808,0.002066183090209961,5.724735422661944e-05,squared_error,16,50,8,"{'loss': 'squared_error', 'max_depth': 16, 'min_samples_leaf': 50, 'min_samples_split': 8}",0.9359268316630087,0.9556869696218311,0.9545667849688744,0.9567716534452799,0.952678134494285,0.9511260748386559,0.007719309392867244,1,-18.709308066037934,-12.831594501068393,-12.87663269788069,-13.574303161984805,-14.29113771272517,-14.456595227939399,2.1921811476717066,2
0.26284565925598147,0.0017379755325961253,0.0020527362823486326,4.556163451459016e-05,squared_error,16,50,4,"{'loss': 'squared_error', 'max_depth': 16, 'min_samples_leaf': 50, 'min_samples_split': 4}",0.9359268316630087,0.9556869696218311,0.9545667849688743,0.9567716534452799,0.952678134494285,0.9511260748386559,0.007719309392867233,1,-18.709308066037934,-12.831594501068395,-12.876632697880705,-13.574303161984798,-14.29113771272517,-14.456595227939403,2.192181147671705,3
0.2616020679473877,0.0021305010194829104,0.002045345306396484,2.7207895363066e-05,squared_error,16,50,2,"{'loss': 'squared_error', 'max_depth': 16, 'min_samples_leaf': 50, 'min_samples_split': 2}",0.9359268316630087,0.9556869696218311,0.9545667849688744,0.9567716534452799,0.9526781344942848,0.9511260748386559,0.007719309392867239,1,-18.709308066037934,-12.831594501068373,-12.87663269788069,-13.574303161984789,-14.291137712725186,-14.456595227939394,2.1921811476717106,1
0.2152176856994629,0.0024154962848750993,0.001646709442138672,2.1193467234446993e-05,squared_error,8,50,8,"{'loss': 'squared_error', 'max_depth': 8, 'min_samples_leaf': 50, 'min_samples_split': 8}",0.9356540833918776,0.9543909684869935,0.9543611057175925,0.9562880243912812,0.9529397331337219,0.9507267830242935,0.00761111535166607,4,-18.788950318193027,-13.206873756250017,-12.934926088971716,-13.726169423827866,-14.212135286643635,-14.57381097477725,2.1527269318244326,4
0.215024995803833,0.0019430933547789182,0.0016431808471679688,2.1405155766442272e-05,squared_error,8,50,2,"{'loss': 'squared_error', 'max_depth': 8, 'min_samples_leaf': 50, 'min_samples_split': 2}",0.9356540833918776,0.9543909684869936,0.9543611057175925,0.9562880243912812,0.9529397331337219,0.9507267830242935,0.0076111153516660816,4,-18.788950318193027,-13.20687375625001,-12.93492608897172,-13.726169423827884,-14.212135286643635,-14.573810974777254,2.1527269318244318,5
0.21480159759521483,0.0019092328801886842,0.0016493797302246094,3.45639518214256e-05,squared_error,8,50,4,"{'loss': 'squared_error', 'max_depth': 8, 'min_samples_leaf': 50, 'min_samples_split': 4}",0.9356540833918776,0.9543909684869935,0.9543611057175925,0.9562880243912812,0.9529397331337219,0.9507267830242935,0.00761111535166607,4,-18.788950318193027,-13.206873756250017,-12.934926088971713,-13.726169423827882,-14.212135286643635,-14.573810974777254,2.1527269318244318,5
0.2654521942138672,0.00043180911339327596,0.0018103599548339843,2.185527338997651e-05,squared_error,8,10,8,"{'loss': 'squared_error', 'max_depth': 8, 'min_samples_leaf': 10, 'min_samples_split': 8}",0.936092851698273,0.9561956762285941,0.9498228320070702,0.953775962194575,0.952764460044378,0.9497303564345781,0.007118471154446958,7,-18.66083036366245,-12.684289817947144,-14.221158718839735,-14.514991956669546,-14.265067516393678,-14.869267674702513,2.0030322110830925,7
0.26566638946533205,0.0010650670310599194,0.0018560409545898438,4.4460916453475545e-05,squared_error,8,10,4,"{'loss': 'squared_error', 'max_depth': 8, 'min_samples_leaf': 10, 'min_samples_split': 4}",0.9360928516982732,0.9561956762285941,0.9498228320070702,0.9537708197949546,0.952764460044378,0.9497293279546539,0.007117886916716697,8,-18.660830363662427,-12.684289817947144,-14.221158718839735,-14.51660674180454,-14.265067516393678,-14.869590631729505,2.002975193100526,8
0.26498117446899416,0.00030177835205103535,0.0018108367919921875,2.883796651778067e-05,squared_error,8,10,2,"{'loss': 'squared_error', 'max_depth': 8, 'min_samples_leaf': 10, 'min_samples_split': 2}",0.936092851698273,0.9561956762285941,0.9498202191874814,0.9537708197949546,0.952764460044378,0.9497288053907363,0.007117880128786352,9,-18.66083036366245,-12.684289817947144,-14.221899241343536,-14.51660674180454,-14.265067516393678,-14.869738736230271,2.002927267912248,9
0.15263514518737792,0.0005801969571648239,0.0011933803558349609,7.476770147896286e-06,squared_error,4,10,4,"{'loss': 'squared_error', 'max_depth': 4, 'min_samples_leaf': 10, 'min_samples_split': 4}",0.934878834280762,0.9540165431476365,0.9515204598068405,0.9552392978570079,0.9512934088747654,0.9493897087934025,0.007407495411503398,10,-19.015322367901863,-13.315295005813681,-13.740018882700497,-14.055484168545773,-14.709322928193934,-14.967088670631147,2.074598013567831,10
0.15435657501220704,0.004586714844073116,0.001189851760864258,1.6717614270816368e-05,squared_error,4,10,8,"{'loss': 'squared_error', 'max_depth': 4, 'min_samples_leaf': 10, 'min_samples_split': 8}",0.9348788342807621,0.9540165431476365,0.9515204598068405,0.9552392978570079,0.9512934088747654,0.9493897087934025,0.007407495411503355,10,-19.015322367901856,-13.315295005813681,-13.740018882700502,-14.05548416854578,-14.709322928193934,-14.967088670631153,2.074598013567827,12
